survey_type,site,site depth,date,trip,quadrat,depth_at_survey,depth,depth2,bag_or_natural,bag_or_nearest_bag_if_natural,piece,unique_piece,widest_span_cm,widest_span_mm,morph,stable_bin,bound_bin,no_pieces_bound_to_it,number_binds,quadrat_angle,bed_depth1,bed_depth2,bed_depth3,bed_depth4,bed_depth5,bed_depth6,bed_depth7,bed_depth8,number_contact_points,max_gap_size_to_right_cm,contact_length_1,contact_length_2,contact_length_3,contact_length_4,contact_length_5,contact_length_6,contact_length_7,contact_length_8,contact_length_9,binder_1,binder1_length_cm,binder1_distance_cm,binder_2,binder2_length_cm,binder2_distance_cm,binder_3,binder3_length_cm,binder3_distance_cm,binder_4,binder4_length_cm,binder4_distance_cm,binder_5,binder5_length_cm,binder5_distance_cm,binder_6,binder6_length_cm,binder6_distance_cm,binder_7,binder7_length_cm,binder7_distance_cm,strength_if_tested
Bag,Pinnacle,3-5m,44692,May_2022,37,7.1,shallow,shallow,bag,B2,6,647,12.8,128,branched,1,1,2,2,flat,224,385,50,35,28,34,29,NA,4,1.1,18,14,15,13,NA,NA,NA,NA,NA,Peyssonnelia,0.7,<0.1,Peyssonnelia,1,<0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,37,7.1,shallow,shallow,bag,B2,7,648,12.3,123,branched,0,0,0,0,flat,224,385,50,35,28,34,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,37,7.1,shallow,shallow,bag,B2,8,649,24.5,245,branched,1,1,3,3,flat,224,385,50,35,28,34,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peyssonnelia,1.2,<0.1,Peyssonnelia,2.3,<0.1,Ascidian,0.8,<0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,37,7.1,shallow,shallow,bag,B2,9,650,3.1,31,branched,1,0,0,0,flat,224,385,50,35,28,34,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,37,7.1,shallow,shallow,bag,B2,10,651,1.8,18,branched,0,1,1,1,flat,224,385,50,35,28,34,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sponge,0.9,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,37,7.1,shallow,shallow,bag,B2,11,652,19.9,199,branched,1,0,0,0,flat,224,385,50,35,28,34,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,37,7.1,shallow,shallow,bag,B2,12,653,3.5,35,branched,1,1,1,1,flat,224,385,50,35,28,34,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ascidian,0.5,<0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,38,6.5,shallow,shallow,bag,B1,1,654,23.2,232,branched,1,1,1,1,gentle,250,190,270,305,270,290,170,380,4,0.6,23,15,13,1,NA,NA,NA,NA,NA,Ascidian,0.7,<0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,38,6.5,shallow,shallow,bag,B1,2,655,14.5,145,branched,1,1,1,1,gentle,250,190,270,305,270,290,170,380,4,1.4,23,19,24,17,NA,NA,NA,NA,NA,Sponge,3.9,<0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,38,6.5,shallow,shallow,bag,B1,3,656,24,240,branched,1,1,1,1,gentle,250,190,270,305,270,290,170,380,4,2.7,66,21,35,27,NA,NA,NA,NA,NA,Peyssonnelia,1.2,<0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
